tweet_content,label
Desde miami me pasa este video @user Fuerza al valeroso exilio cubano... cuba libre bolivia libre venezuela libre nicaragua libre url,1
Me puedo imaginar lo triste que debe ser no comer sushi.,0
"¿Podré dormir hoy?
Mañana debuto en mi Primera Copa del Mundo Femenina de Ajedrez 
Voy con blancas ♟️
¡Vamos Paraguay! 🇵🇾
fide world cup url",0
El McDonald's del Obelisco ahora mismo 🤪🏆🇦🇷 url,0
Recuerdazo de @user con @user 😃💙🔝💯 url,0
"Jeisson David, más conocido en Tik Tok como Yeinex, es un joven conductor de TransMilenio  url",0
En mi ig salgo besando a muchas mujeres haced lo mismo un beso,0
"¡feliz cumpleaños kimita! 🦋

dejen los comentarios que quieran + la frase HBD 2 AÑOS KIMA url",0
@user Cada vez lo quiero más a Neymar..,0
"Que amiga que me tocó está vez, más compinche y buena no puede ser❤️🙌",0
Ricas botas. url,0
"Buenas tardes, un saludo desde Düsseldorf, Alemania 🇩🇪
Por dónde andan ustedes? 🤣🤣🤣 url",1
"No es necesario esperar 70 años como Cuba, que ahora está despertando...

La dictadura se debe atacar en México, antes de dormirnos...

En 2024 se debe acabar ésta pesadilla llamada 4t y @user debe ser juzgado por sus múltiples violaciones a la Constitución. url",0
Te kedas con lo malo de mi porke si te kedas con lo bueno te mueres de pena 💋,0
Carlos Rivera se impone a la lluvia en Gijón y agota las entradas url,0
"¿Te imaginas que el pueblo cubano arrase con todo, incluida toda la plata robada por los K que guardan ahí? Sería hermoso. La caída de la dictadura socialista cubana arrastraría a Maduro y al kirchnerismo.",0
"Ayer, mi hijo pidió un masaje antes de acostar. 
Son los pequeños inconvenientes de tener un niño malcriado: hay que estar ahí cuando necesita al padre. 
father and son real life taboo incest family love secretos deal coba. 
😍😍😍🥰🥰🥰😘😘😘🍑💦😋🎀❤️🌷💐🌼🤫 url",0
"@user Medio basura, sin ética y profesionalismo.",0
"La opereta del golpe de Estado con balas de goma, no sólo tiene como objetivo dañar a Macri, sino también ocultar la responsabilidad de Evo en los sucesos ocurridos en 2019 en Bolivia...",0
@user Tengo la sensación de que se me escapa alguno -o varios- de los elementos a partir de los cuales se establecen relaciones de causalidad en cuanto al beneficio de estos partidos.,0
Somos pueblo Cubano hoy. Fuerza a los hermanos cubanos que quieren su libertad!!!! url,0
"@user Canel va a declarar emergencia nacional, y lo obligaron a renunciar",1
un año de esto 😭 estoy orgullosa de ti 💖,1
"que asco boludo que gente más pajera que es, como odio haber gastado recursos en gente tan imbecil que ganas de volver a tener 13 y hacer las cosas piola",0
